"taxon","mass_g","source_mass","n"
"_Nanonycteris",21.35,"Smith_2003",1
"_Natalus",5.75522663623422,"Smith_2003",1
"Abalistes_stellaris",3711,"Cai_etal_2025",NA
"Abbottina_binhi",1.3,"Cai_etal_2025",NA
"Abbottina_obtusirostris",13.5,"Cai_etal_2025",NA
"Abbottina_rivularis",15.9,"Killen_etal_2016",1
"Abbottina_springeri",5.2,"Cai_etal_2025",NA
"Abditomys_latidens",269,"Smith_2003",1
"Abeillia_abeillei",2.7,"rdataretriever-amniote-life-hist",1
"Abeomelomys_sevia",56.3649110706297,"rdataretriever-pantheria_rdataretriever-amniote-life-hist",2
"Abeomylomys_sevia",52,"Smith_2003",1
"Ablennes_hians",4326.9,"Cai_etal_2025",NA
"Ablepharus_bivittatus",4.363,"Meiri_2018",NA
"Ablepharus_budaki",2.012,"Meiri_2018",NA
"Ablepharus_chernovi",2.944,"Meiri_2018",NA
"Ablepharus_darvazi",1.52,"Meiri_2018",NA
"Ablepharus_deserti",3.875,"Meiri_2018",NA
"Ablepharus_grayanus",0.719,"Meiri_2018",NA
"Ablepharus_kitaibelii",3.708,"Meiri_2018",NA
"Ablepharus_lindbergi",2.296,"Meiri_2018",NA
"Ablepharus_pannonicus",3.123,"Meiri_2018",NA
"Ablepharus_rueppellii",2.606,"Meiri_2018",NA
"Abramis_brama",398,"Brown_etal_2018",1
"Abramites_hypselonotus",35.2,"Cai_etal_2025",NA
"Abrawayaomys_ruschii",63,"Smith_2003",1
"Abrocoma_bennetti",307,"rdataretriever-mammal-life-hist",1
"Abrocoma_bennettii",250.501,"Smith_2003",1
"Abrocoma_boliviensis",158.001,"Smith_2003",1
"Abrocoma_budini",221.82,"rdataretriever-amniote-life-hist",1
"Abrocoma_cinerea",250,"Smith_2003",1
"Abrocoma_famatina",221.82,"rdataretriever-amniote-life-hist",1
"Abrocoma_shistacea",221.82,"rdataretriever-amniote-life-hist",1
"Abrocoma_vaccarum",221.82,"rdataretriever-amniote-life-hist",1
"Abronia_anzuetoi",44.521,"Meiri_2018",NA
"Abronia_aurita",34.06,"Meiri_2018",NA
"Abronia_bogerti",12.632,"Meiri_2018",NA
"Abronia_campbelli",35.995,"Meiri_2018",NA
"Abronia_chiszari",18.567,"Meiri_2018",NA
"Abronia_cuetzpali",25.482,"Meiri_2018",NA
"Abronia_deppii",30.415,"Meiri_2018",NA
"Abronia_fimbriata",39.041,"Meiri_2018",NA
"Abronia_frosti",21.83,"Meiri_2018",NA
"Abronia_fuscolabialis",27.871,"Meiri_2018",NA
"Abronia_gaiophantasma",21.83,"Meiri_2018",NA
"Abronia_graminea",22.317,"Meiri_2018",NA
"Abronia_leurolepis",18.567,"Meiri_2018",NA
"Abronia_lythrochila",29.55,"Meiri_2018",NA
"Abronia_martindelcampoi",25.482,"Meiri_2018",NA
"Abronia_matudai",21.83,"Meiri_2018",NA
"Abronia_meledona",29.55,"Meiri_2018",NA
"Abronia_mitchelli",18.567,"Meiri_2018",NA
"Abronia_mixteca",61.307,"Meiri_2018",NA
"Abronia_montecristoi",12.171,"Meiri_2018",NA
"Abronia_oaxacae",27.057,"Meiri_2018",NA
"Abronia_ochoterenai",24.344,"Meiri_2018",NA
"Abronia_ornelasi",14.092,"Meiri_2018",NA
"Abronia_ramirezi",12.171,"Meiri_2018",NA
"Abronia_reidi",15.668,"Meiri_2018",NA
"Abronia_salvadorensis",12.632,"Meiri_2018",NA
"Abronia_smithi",21.83,"Meiri_2018",NA
"Abronia_taeniata",48.059,"Meiri_2018",NA
"Abronia_vasconcelosii",29.55,"Meiri_2018",NA
"Abroscopus_schisticeps",4.85,"rdataretriever-amniote-life-hist",1
"Abroscopus_superciliaris",6.5,"rdataretriever-amniote-life-hist",1
"Abrothrix_andinus",18,"Smith_2003",1
"Abrothrix_illuteus",47.8,"Smith_2003",1
"Abrothrix_jelskii",34.5,"Smith_2003",1
"Abrothrix_lanosus",32.5,"Smith_2003",1
"Abrothrix_longipilis",37.55,"Smith_2003",1
"Abrothrix_markhami",27,"rdataretriever-amniote-life-hist",1
"Abrothrix_olivaceus",39,"Smith_2003",1
"Abrothrix_sanborni",24.7,"Smith_2003",1
"Abudefduf_bengalensis",124.1,"Cai_etal_2025",NA
"Abudefduf_vaigiensis",203,"Cai_etal_2025",NA
"Aburria_aburri",1328.75,"rdataretriever-amniote-life-hist",1
"Aburria_jacutinga",1370,"rdataretriever-amniote-life-hist",1
"Acacia_victoriae",458.530627951159,"Brown_etal_2018",1
"Acanthagenys_rufogularis",47.4487091499864,"rdataretriever-bird-size_rdataretriever-amniote-life-hist",2
"Acanthaluteres_brownii",2625.4,"Cai_etal_2025",NA
"Acanthephyra_acutifrons",4.637,"Donnelly_1993",NA
"Acanthephyra_curtirostris",3.618,"Donnelly_1993",NA
"Acanthephyra_stylorostratis",3,"Kalytiak-Davis_estimated/Donnelly_1993",NA
"Acanthidops_bairdi",16,"rdataretriever-amniote-life-hist",1
"Acanthina_punctulata",0.85,"Novak_estimated",NA
"Acanthina_spirata",0.8,"Novak_estimated",NA
"Acanthinucella_punctulata",0.85,"Novak_estimated",NA
"Acanthinucella_spirata",0.8,"Novak_estimated",NA
"Acanthinula_aculeata",0.000433,"rdataretriever-predator-prey-body-ratio",1
"Acanthis_flammea",13,"Cai_etal_2025",NA
"Acanthis_hornemanni",14.3,"rdataretriever-amniote-life-hist",1
"Acanthisitta_chloris",6.9,"Cai_etal_2025",NA
"Acanthiza_apicalis",7.5,"rdataretriever-amniote-life-hist",1
"Acanthiza_chrysorrhoa",9.6,"Lislevand_etal_2007",1
"Acanthiza_ewingii",6.95,"Lislevand_etal_2007",1
"Acanthiza_inornata",7.05,"Lislevand_etal_2007",1
"Acanthiza_iredalei",5.75,"Lislevand_etal_2007",1
"Acanthiza_katherina",6.75,"Lislevand_etal_2007",1
"Acanthiza_lineata",7.5,"Lislevand_etal_2007",1
"Acanthiza_murina",8.4,"rdataretriever-amniote-life-hist",1
"Acanthiza_nana",6.4,"Lislevand_etal_2007",1
"Acanthiza_pusilla",6.975,"Lislevand_etal_2007",1
"Acanthiza_reguloides",7.55,"Lislevand_etal_2007",1
